#{"t_start": 1770471278.070962, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-80.654101,62,0.831324
-106.027638,90,0.911492
-135.918847,75,0.976566
-25.708716,114,1.076602
-72.642094,67,1.136299
-93.16856,87,1.21106
-174.604569,96,1.292711
-279.454522,89,1.371528
-170.941877,88,1.447848
-123.650484,107,1.542637
-72.031917,66,1.601401
-120.099024,69,1.663233
-119.229296,79,3.525181
-221.875808,124,3.636712
-105.472344,71,3.717747
-102.443737,80,3.910421
-144.953085,71,4.000453
-162.161752,114,4.277915
-84.293808,79,4.415338
-120.10746,75,4.65819
-146.589522,123,4.958208
-327.754363,86,5.125044
-86.371275,80,5.289656
-104.145249,67,7.86115
-244.097097,99,8.132057
-114.98603,77,8.69476
-135.865644,76,8.912094
-144.172268,120,9.168087
-124.211295,67,9.29527
-84.504904,90,9.451327
-149.176358,108,9.564046
-83.911793,98,9.659343
-225.175401,125,9.786618
-134.864265,81,9.866306
-234.475041,101,12.506822
-66.315513,126,13.446051
-107.07744,86,13.774094
-59.418727,67,13.885068
-115.571635,90,14.101892
-85.763118,81,14.272374
-140.36545,67,14.341987
-92.229127,110,14.453258
-143.301473,78,14.532182
-173.843255,120,14.645029
-113.518382,80,14.722324
-106.34067,100,16.603356
-109.755039,84,16.676201
-110.334884,65,16.731342
-89.842272,77,16.836381
-125.827009,116,16.937549
-95.438479,59,16.995401
-76.391091,69,17.057297
-79.949265,88,17.137052
-120.549353,80,17.209909
-124.359307,122,17.469141
-103.601995,75,17.644164
-99.410787,95,18.028604
-98.49209,97,20.500394
-65.924458,90,20.638118
-81.687482,62,20.805199
-114.125538,97,20.966989
-70.119412,80,21.079841
-36.686221,64,21.186377
-104.315619,89,21.310169
-79.924752,60,21.391691
-85.49292,75,21.465034
-78.792494,69,21.527653
-190.285615,99,21.623393
-65.134645,111,21.730441
-91.141948,76,21.802682
-92.565789,104,24.423809
-85.730691,78,26.260652
-88.130151,79,26.343129
-104.313344,116,26.447686
-74.744594,64,26.503938
-34.781814,85,26.577588
-119.838492,104,26.671172
-66.342201,80,26.740706
-68.028174,77,26.805381
-91.327318,92,26.883832
-140.368766,102,26.971383
-3.158061,96,28.926547
-96.17162,80,28.997171
-89.684974,101,29.081906
-96.667775,110,29.175086
-99.700872,106,29.266526
-108.067225,87,29.342873
-98.434641,75,29.40595
-84.510427,101,29.495044
-26.039424,73,29.559677
-95.37424,96,29.671102
-116.140692,115,29.927127
-1.623183,110,32.392407
-19.620236,77,32.463995
-49.516175,78,32.596138
-82.739418,77,32.783608
-75.894446,111,32.999282
-105.961106,89,33.315332
-71.57731,83,33.54556
-95.292318,73,33.772425
-62.864934,88,33.9769
-62.197653,69,34.087187
-143.377128,119,34.211577
-104.629406,88,34.298845
-48.199358,127,36.599629
-138.069622,113,38.621515
-83.54014,121,38.928805
-93.871673,98,39.159782
-149.377158,117,39.484519
-92.340939,93,39.647671
-102.624144,79,39.778773
-39.771507,105,39.930933
-50.928155,68,40.023758
-61.857995,129,40.16176
-211.426797,123,42.628864
-60.114705,119,42.735306
-24.522411,94,42.817768
-32.151215,103,42.905542
-49.667797,74,42.967022
-94.634173,122,43.067971
-123.944613,98,43.15363
-74.294959,123,43.264761
-62.092595,84,43.342778
-23.684123,115,45.982037
-75.915772,88,46.111931
-60.200694,123,46.26371
-39.154393,113,46.511952
-87.522669,101,46.705021
-13.599202,127,46.86817
-15.779847,114,47.035908
-55.959192,101,47.184791
-39.126858,119,47.368264
-59.994035,116,49.248987
19.753824,127,49.359855
-75.800536,114,52.811584
-20.720508,152,53.141614
-43.362891,116,53.382627
-32.816271,89,53.551721
-86.481901,128,53.832191
-47.226575,113,54.045839
-89.168056,120,54.172685
-53.043247,135,56.458286
-51.260918,87,56.532202
-47.568905,84,56.603357
-7.136029,123,56.771161
-16.432813,118,56.979118
-203.263231,130,57.278033
-36.423485,73,57.390223
-75.342173,90,57.500378
-4.455396,118,57.658943
5.389211,105,57.811475
40.561549,141,60.181847
-42.842948,80,60.259131
-48.234668,131,60.38418
17.313036,91,60.468231
10.967282,127,60.585377
-75.968013,82,60.659665
-64.020501,92,60.746941
-48.00175,100,60.849827
-6.975522,105,60.947316
-59.094804,98,62.757984
20.63436,147,62.88507
-14.606998,115,67.460749
26.87433,143,67.702013
-40.57805,99,67.8629
-3.858833,110,68.050113
9.329943,1000,71.363179
0.673764,116,71.5078
-28.470907,96,72.069138
-198.455486,132,72.652894
-41.70112,97,75.039258
-79.243228,129,75.334545
-49.116581,115,75.441377
-36.146979,136,75.56192
-5.8219,142,75.692605
-67.956764,94,75.781828
-16.725858,98,75.871176
9.669007,129,75.984782
-26.381892,103,76.072359
5.603662,134,78.26474
19.156891,132,78.551506
-7.552435,108,78.699081
37.159464,143,83.051438
-20.043273,91,83.22329
-65.181764,121,83.361667
-17.621644,137,83.490773
14.136125,102,83.586294
8.269256,102,83.679609
-54.455977,143,85.85941
-43.892026,109,85.976124
-17.118333,117,86.076812
17.338892,122,86.183243
6.236052,120,86.281893
-5.496741,107,86.371504
-39.561667,98,86.452599
7.771322,101,86.541917
19.020967,118,86.645054
58.759684,103,88.936808
-10.811603,117,89.152042
46.470855,110,89.420969
42.841988,90,89.605124
-11.877073,132,89.916472
-33.430646,121,90.036414
91.733244,1000,96.888904
-51.054402,158,97.05746
-2.900381,118,97.162998
23.798464,147,99.446884
6.89258,133,99.567433
25.96956,99,99.666688
74.343719,1000,102.840751
32.83476,162,103.087354
131.524397,1000,106.353805
-30.912038,119,110.58766
-62.539859,165,110.744679
17.456286,133,110.954032
51.231281,123,111.262688
110.352362,1000,114.166831
38.588931,175,116.623726
100.612472,1000,120.71139
29.131593,115,120.870123
124.10912,1000,126.648717
104.530289,1000,129.529501
49.160343,108,129.73932
-4.681987,98,129.879646
215.430085,214,130.355365
111.08696,1000,133.130232
38.54982,179,136.743692
-18.521164,123,136.907657
91.911783,1000,139.988208
106.476915,1000,143.56487
64.005797,1000,150.580882
-147.203169,299,150.838691
120.602349,1000,153.386655
124.895435,1000,156.975328
188.756659,921,163.129145
-13.281851,215,165.290209
124.360995,1000,168.369682
132.560326,1000,170.984656
239.576842,998,176.171988
253.415194,521,178.917896
256.636906,305,179.181582
272.02324,379,181.759787
238.076972,338,182.275881
248.130817,817,184.872685
253.462142,341,185.296829
254.982326,387,192.626698
273.708556,276,192.869505
48.243395,199,193.042164
254.275427,438,193.477215
235.455934,697,196.453007
228.671876,326,196.73312
241.718227,363,199.232307
228.829486,346,199.752433
274.303202,258,204.561867
276.16354,434,207.418512
281.59917,297,207.657728
249.123136,357,208.044304
234.687547,362,210.729195
257.288255,376,211.041005
229.547019,280,211.269226
264.84423,313,213.261254
256.401119,383,213.57696
269.508513,288,218.914097
237.046292,598,221.552869
280.13288,366,221.860668
261.181656,287,224.318048
288.197318,291,224.705083
259.958413,303,225.25793
274.024635,258,225.583787
269.73417,343,227.599869
224.766296,276,227.83193
290.963811,496,233.171923
252.878482,245,236.266998
253.071848,381,236.956531
245.994867,402,237.55861
263.19752,252,239.904779
267.337064,243,240.26689
218.414158,308,240.665226
274.749963,276,243.087955
292.316425,256,243.294354
302.729255,338,243.564087
226.565305,331,249.023109
235.552883,283,251.079561
273.59114,336,251.350041
252.382384,281,251.57717
282.856222,304,253.776548
255.31582,269,253.999593
268.096089,317,254.359818
31.980744,204,254.59041
241.913122,292,256.978755
256.046569,300,257.226315
275.942915,447,257.593358
270.70149,344,262.0185
244.57443,370,262.316153
273.290533,243,262.512222
258.512559,256,265.115358
285.606452,323,265.716677
271.560979,246,265.969238
274.12546,263,266.197908
301.750467,261,268.227996
289.95669,330,268.489394
313.600631,363,268.786761
79.313325,214,273.148327
266.520717,312,273.404461
265.532567,310,273.654876
282.491123,275,273.887568
251.864296,220,276.299771
228.775853,259,276.511039
271.624877,308,276.846185
284.372038,289,277.324556
250.982749,265,279.818223
305.275576,265,280.046735
285.762944,233,280.245776
245.013189,276,280.47525
298.02282,308,284.760801
244.386605,251,284.969176
264.41346,283,285.199364
296.573032,359,287.213347
233.318837,307,287.480713
284.225973,296,287.722117
257.799406,288,290.06053
304.998246,309,290.491688
298.860606,247,290.804222
230.656195,263,291.051459
246.433466,304,293.144915
25.55137,226,295.224746
275.689704,270,295.450191
275.715065,301,295.695443
260.782967,290,297.984129
254.197585,271,298.205429
308.639377,265,298.420373
212.703807,433,301.566873
250.777027,309,302.015995
50.336844,185,302.377569
303.470963,297,302.648767
290.114741,254,305.075161
245.787492,269,307.465529
275.847729,223,307.657086
250.696716,255,307.86782
250.961048,241,309.807083
241.200423,238,309.998413
290.809439,266,310.21533
270.086115,289,310.460228
250.584432,275,313.015936
230.535537,251,313.382288
246.482807,326,313.657194
289.89529,249,313.866053
248.259803,342,317.956856
272.077464,249,318.159726
285.850066,262,318.372541
33.673517,177,318.517643
293.213367,237,320.508331
289.034731,247,320.709172
253.483985,252,320.914582
231.833023,242,321.107327
282.269847,243,323.43073
254.331345,236,323.722375
255.37173,307,324.148392
243.564265,276,324.401
271.72948,218,326.38883
292.141012,332,328.103195
258.199825,202,328.270792
238.321815,313,330.819079
280.069914,257,331.214456
258.224714,225,331.405144
261.780052,273,331.640695
255.867396,243,331.856088
291.217746,250,334.303745
268.114164,233,334.502234
290.696541,264,334.736257
270.371812,246,334.995683
284.343688,260,337.77497
289.222097,259,340.108662
283.814938,254,340.336007
265.542126,220,340.533357
272.170296,236,342.605446
263.029828,502,343.020414
259.122118,263,343.239656
285.442744,270,345.853915
-188.340836,590,346.575058
284.298463,201,346.754707
243.326118,296,349.118326
273.699642,287,352.347212
281.104583,231,352.571378
236.309436,287,354.570532
300.673405,303,354.821915
284.535626,295,355.062631
244.509429,261,355.277655
266.101694,237,357.722654
271.842435,271,358.216876
288.170878,312,358.778138
289.262181,288,359.062221
272.727816,216,361.444567
236.392594,426,364.043637
74.352652,171,364.42296
308.871956,502,366.679152
309.506204,291,366.913099
318.884839,245,367.117964
311.389893,282,369.356011
270.75428,261,369.640276
311.162216,288,370.093623
252.097402,274,370.37715
310.474348,352,372.474704
266.026917,194,372.629953
280.456867,238,374.546033
290.614342,225,374.732396
239.554382,289,377.614571
276.860743,227,377.804908
244.307184,224,378.049844
303.738817,248,378.452234
290.691867,231,380.939042
285.900712,224,381.133562
291.987952,240,381.345369
315.153542,224,381.549608
265.438488,213,381.733164
239.92635,256,383.881514
267.687059,306,384.19176
306.384721,231,386.570905
284.39769,220,386.902983
298.911003,217,388.8701
273.974508,194,389.02885
291.998017,250,389.233998
274.006481,242,389.434271
71.720495,161,389.565866
275.484751,263,392.075313
307.506324,284,392.610446
304.415679,276,392.987412
68.436628,175,393.140841
282.334488,263,395.08513
267.27434,249,395.282711
312.603771,236,397.456766
293.380934,247,397.655124
238.438491,340,399.656626
247.118819,273,399.873281
254.451043,259,400.082201
276.60271,237,400.272681
268.555562,225,402.679111
277.893976,239,402.977507
292.703471,214,403.33872
262.941592,320,403.753757
320.380688,254,405.696054
249.289719,227,405.881436
299.857277,244,406.077521
292.607181,224,407.657392
315.932345,214,410.329321
273.580016,273,410.55491
41.710143,167,410.688806
288.090962,236,410.88144
246.680901,340,413.369981
297.590194,395,413.98991
300.805851,275,414.248776
283.983991,211,414.441738
276.211358,234,416.391371
299.988727,210,416.721537
262.169679,255,417.122218
287.732319,264,419.847478
310.555086,260,422.742187
251.095902,266,423.00243
307.582854,269,423.249835
284.734622,261,423.572483
315.094942,241,426.815584
241.31169,218,427.043949
290.893383,216,427.408312
69.445326,204,427.618037
287.047722,269,427.878916
284.627937,197,429.770726
301.404102,267,430.002442
278.637171,207,430.209221
73.564327,164,431.800556
285.118452,219,433.849484
289.888017,237,434.30184
279.090169,227,434.766806
51.611843,140,434.990923
28.233312,130,435.135332
285.362929,201,435.327058
289.24569,300,437.88054
280.243806,235,438.070844
248.364201,228,438.257402
282.114974,263,438.474768
319.708962,206,440.930405
283.42564,215,441.20086
295.521597,201,441.397319
291.817036,259,441.636186
56.902551,169,443.383638
42.032768,191,445.338296
288.658492,313,445.593983
270.087715,250,445.793238
271.874304,212,445.967207
272.200405,235,448.362354
301.147601,223,448.567744
281.306254,203,448.817033
289.687179,219,449.219161
265.834919,227,449.580966
292.485518,228,452.202093
313.148449,266,452.41755
271.653838,248,452.617645
239.311465,269,454.9196
253.285053,217,456.857765
279.51966,257,457.064873
251.432581,239,457.263527
283.53557,204,457.433307
298.753968,258,459.847675
286.545681,222,460.028978
267.815967,268,460.245479
279.618177,220,460.430938
286.565768,230,462.718124
56.82416,200,462.880629
279.835263,196,463.03808
301.963074,214,463.213932
304.283353,216,463.389921
268.54065,202,467.01909
287.317265,238,467.214365
309.937103,208,467.382851
250.590258,242,467.574749
281.553523,256,467.782795
279.449149,193,470.365189
293.238903,221,470.546065
30.115073,162,470.834318
299.979243,208,471.104366
282.15787,262,471.478684
278.73704,252,474.0231
286.204772,320,474.28531
313.737539,239,474.499392
68.277075,158,474.636237
302.453188,279,477.896071
297.21743,348,478.173711
273.268427,222,478.349562
322.879611,225,478.532083
307.955618,214,480.784466
293.496892,289,481.017121
258.36825,204,481.178937
290.846637,205,481.344027
288.124626,234,483.502087
273.39988,218,483.676498
268.539556,228,483.85902
268.482219,214,484.030507
298.303323,248,484.312797
284.27687,236,488.192965
311.709964,218,488.468306
310.207845,247,488.688669
244.129679,260,488.914259
300.622613,247,490.944589
291.415018,247,491.151527
294.049616,269,491.36842
296.930751,227,491.661986
282.189786,225,494.182773
274.710132,212,494.396348
278.364134,216,494.583408
262.452355,196,494.748524
310.794074,435,498.865098
272.274488,202,499.091679
315.744916,270,499.325076
248.005455,247,499.598498
319.20612,232,502.158244
275.537375,251,502.365504
285.118113,247,502.640919
283.973045,245,503.050356
279.203065,224,505.52875
282.76262,214,505.740082
278.797919,211,505.922054
285.184606,242,506.123032
293.928848,205,506.294699
265.18553,371,510.200857
283.884682,241,510.736469
290.384561,196,510.985861
305.629066,196,511.16519
269.764675,273,513.12227
270.211781,248,513.321879
269.229485,196,513.483357
267.144215,199,513.644069
269.727127,224,513.828691
269.315417,221,516.428794
273.647717,250,516.72977
271.694091,254,516.948568
307.231545,212,517.130387
309.440305,220,519.044605
315.82779,249,520.985409
314.83083,322,521.253922
284.153927,234,521.448325
59.56289,141,523.854894
257.303648,213,524.039567
307.761925,208,524.220921
252.783963,212,524.551935
276.102777,209,524.906279
274.800046,255,527.429842
303.582475,290,527.664034
265.126338,251,527.863413
