#{"t_start": 1770329206.1037598, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-90.42876,126,1.001147
-125.003911,93,1.055496
-139.785474,99,1.113336
-74.522263,71,1.161036
-355.403168,148,1.261511
-57.399367,164,1.36536
-341.568351,121,1.438531
-505.688436,179,1.703856
-489.415656,109,3.461891
1.692835,115,3.727206
-56.464151,78,3.777917
-62.646761,101,3.847997
-109.63639,107,3.919118
-270.353497,113,3.998529
-60.172002,105,4.071332
-114.321788,114,4.146953
-232.518505,115,4.223512
-180.911109,128,5.411499
-167.520995,104,5.510169
-249.796511,142,5.622184
-88.766845,145,5.746531
-117.967136,267,5.969913
-84.470629,103,6.054021
-70.314752,169,6.189587
-81.787449,112,8.09347
-215.240073,126,8.294376
-126.760308,85,8.381196
-51.61022,78,8.455691
-54.887013,169,8.609531
-75.386069,76,8.6863
-59.633639,103,8.770647
-93.624743,156,8.892397
-72.113,73,8.941967
-107.59804,136,9.912649
-108.195985,148,9.992417
-80.871842,126,10.067637
-50.598879,83,10.117954
-105.814871,177,10.344074
-72.028481,148,10.519801
-104.068818,96,10.641717
-110.367465,132,10.865073
-27.714897,153,12.575368
-92.703387,112,12.668826
-40.775298,94,12.748891
-33.345208,195,12.989158
-60.445707,174,13.253707
-118.88899,165,13.398821
-36.278396,89,13.47005
-27.316133,182,14.749592
26.050657,144,15.812884
-90.412829,112,15.883999
-46.337426,158,15.985619
-43.948392,145,16.077783
-68.754314,163,16.180743
-36.151934,109,16.243244
-37.873808,158,17.649642
-61.542923,157,17.740287
-20.345462,128,17.81547
-42.160727,174,17.928458
-64.828745,155,18.030856
-91.260154,160,18.135478
-18.264298,155,18.234503
-53.706528,171,19.403631
-68.83465,133,19.550622
-14.600208,140,19.721932
-60.109224,155,19.882484
-38.268448,1000,23.152817
-59.704234,203,23.319671
-11.974778,154,23.451247
9.781462,122,23.536732
-127.972856,277,24.873637
-6.58357,93,24.924339
-22.359429,129,24.993917
65.247364,103,25.05067
-8.802288,193,25.165952
-25.750661,110,25.233662
-16.33892,137,25.346464
-15.224512,128,26.727985
-3.140629,115,26.806798
-65.21185,114,26.887264
-56.646727,167,27.027583
-18.288301,118,27.112818
-15.703183,132,27.232939
17.206179,157,27.420624
-20.085874,168,29.023128
-8.565165,99,29.100018
-8.518241,130,31.566859
-58.782997,100,31.661492
-60.615077,164,31.790318
-63.500402,103,31.871416
-12.643152,166,31.987548
-22.827916,130,32.078949
-43.105821,153,33.371707
14.803102,137,33.481277
13.589927,125,33.580147
-35.271908,112,33.675368
-32.295832,140,33.782197
18.009124,125,33.876106
32.187471,131,33.974758
-37.701707,172,34.093066
-36.208072,129,35.195082
-30.126903,170,35.322053
62.979481,172,35.455009
4.617549,149,35.569743
14.68933,139,35.674919
-6.545124,93,35.735739
25.364849,142,35.842325
-13.519691,141,36.825446
8.40345,107,36.898344
46.238539,1000,40.661744
-28.619288,1000,42.043318
-24.76381,152,42.116942
-31.487018,163,42.220906
-162.522857,296,42.417017
19.393918,1000,45.984455
32.931431,168,46.080919
21.050019,100,46.136186
-203.561508,209,47.059152
8.496627,148,47.13168
95.2933,1000,48.674343
61.716262,1000,50.52834
26.39106,149,51.995989
72.339643,1000,54.162898
53.825921,1000,55.99874
58.758606,1000,57.682844
6.372656,185,59.404044
118.578766,1000,60.769656
86.785872,1000,62.485619
-47.66239,1000,65.347705
61.069933,1000,66.701117
139.058619,1000,68.652923
30.959207,1000,70.450177
64.869963,1000,72.752671
39.434562,179,72.842114
106.204221,1000,74.138992
59.343394,158,74.229476
140.748104,1000,77.655131
118.372765,1000,79.002199
105.582441,1000,80.300317
134.089151,1000,82.245895
96.164036,1000,85.201206
114.244773,1000,86.555346
129.221689,1000,88.650755
102.139587,1000,92.111785
105.460488,1000,94.493081
99.275825,1000,96.222385
150.809005,1000,99.287654
135.128479,1000,100.990319
107.496987,1000,102.623912
134.229933,1000,105.453371
126.210882,1000,106.784232
136.773529,1000,108.409455
158.044119,1000,111.426905
248.246201,642,111.916532
118.412262,1000,113.488621
105.578911,1000,115.203689
144.055057,1000,118.106914
98.896022,1000,119.973515
128.06643,1000,121.707448
105.447279,1000,124.281442
235.980042,389,125.275537
120.697941,1000,126.571039
147.418164,1000,130.24069
124.531558,1000,132.371331
158.151663,1000,134.121906
136.701722,1000,136.6367
110.529006,1000,137.981558
132.608281,1000,138.478062
96.984902,1000,140.209202
129.75757,1000,143.432632
129.204792,1000,144.808527
130.703201,1000,146.123437
142.90076,1000,149.400784
149.397049,1000,151.167048
128.972782,1000,152.726707
144.98673,1000,155.814983
47.057276,204,156.750023
125.686138,1000,157.236554
138.794512,1000,158.664863
146.580594,1000,162.104575
181.232573,1000,163.490334
142.351638,1000,164.793387
155.983405,1000,168.183213
99.122147,1000,170.041407
151.91512,1000,171.8856
114.440786,1000,174.931851
148.443295,1000,176.298461
126.324292,1000,177.777626
171.215636,1000,181.362905
154.384077,1000,182.763147
164.761008,1000,184.702276
143.402117,1000,187.554412
165.08811,1000,188.897137
136.260036,1000,190.933179
158.168055,1000,193.979222
151.411339,1000,195.30116
174.024141,1000,196.578645
146.575673,1000,198.323269
182.151235,1000,201.29949
171.212334,1000,202.713227
153.647985,1000,204.689908
175.490005,1000,207.476725
176.142121,1000,208.807865
170.364172,1000,210.129207
185.833348,1000,213.12586
154.5011,1000,214.934468
191.433292,1000,216.32897
164.951376,1000,219.104221
174.675112,1000,220.423429
175.225243,1000,222.183323
192.114562,1000,225.165612
56.961413,231,225.281933
191.286436,1000,226.574449
77.217138,227,226.688731
136.391059,1000,228.444546
152.773806,1000,231.17974
182.314643,1000,232.473499
197.59607,1000,234.1973
169.330935,1000,237.214507
188.039117,1000,238.547357
174.206861,1000,240.541654
184.944747,1000,243.502882
185.64141,1000,244.797131
124.229847,1000,246.571628
150.518812,1000,249.765385
